"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","447","test_create_post_with_wrong_data_types[post_wrong_types1]","tests","Fri Jun 27 00:53:27 IDT 2025","passed","Fri Jun 27 00:53:27 IDT 2025","","test_posts","",""
"","502","test_create_post_with_none_fields[post_with_none3]","tests","Fri Jun 27 00:53:25 IDT 2025","passed","Fri Jun 27 00:53:25 IDT 2025","","test_posts","",""
"","83","test_get_all_posts","tests","Fri Jun 27 00:53:21 IDT 2025","passed","Fri Jun 27 00:53:21 IDT 2025","","test_posts","",""
"","171","test_update_post_with_none_fields[post_with_none3]","tests","Fri Jun 27 00:53:33 IDT 2025","passed","Fri Jun 27 00:53:33 IDT 2025","","test_posts","",""
"","438","test_update_post_with_none_fields[post_with_none2]","tests","Fri Jun 27 00:53:32 IDT 2025","passed","Fri Jun 27 00:53:33 IDT 2025","","test_posts","",""
"","1562","test_update_post_with_none_fields[post_with_none0]","tests","Fri Jun 27 00:53:30 IDT 2025","passed","Fri Jun 27 00:53:32 IDT 2025","","test_posts","",""
"","1143","test_get_post_by_non_existing_id[!@#]","tests","Fri Jun 27 00:53:21 IDT 2025","passed","Fri Jun 27 00:53:22 IDT 2025","","test_posts","",""
"","176","test_update_post_with_missing_fields[post_missing_fields1]","tests","Fri Jun 27 00:53:33 IDT 2025","passed","Fri Jun 27 00:53:33 IDT 2025","","test_posts","",""
"","42","test_get_post_by_existing_id[100]","tests","Fri Jun 27 00:53:21 IDT 2025","passed","Fri Jun 27 00:53:21 IDT 2025","","test_posts","",""
"","166","test_update_post_with_extra_field","tests","Fri Jun 27 00:53:35 IDT 2025","passed","Fri Jun 27 00:53:35 IDT 2025","","test_posts","",""
"","181","test_create_post_with_missing_fields[post_missing_fields1]","tests","Fri Jun 27 00:53:26 IDT 2025","passed","Fri Jun 27 00:53:26 IDT 2025","","test_posts","",""
"","605","test_create_post_with_none_fields[post_with_none2]","tests","Fri Jun 27 00:53:24 IDT 2025","passed","Fri Jun 27 00:53:25 IDT 2025","","test_posts","",""
"","170","test_delete_non_existing_post","tests","Fri Jun 27 00:53:35 IDT 2025","passed","Fri Jun 27 00:53:35 IDT 2025","","test_posts","",""
"","437","test_create_post_with_missing_fields[post_missing_fields0]","tests","Fri Jun 27 00:53:25 IDT 2025","passed","Fri Jun 27 00:53:26 IDT 2025","","test_posts","",""
"","32","test_get_post_by_non_existing_id[101]","tests","Fri Jun 27 00:53:21 IDT 2025","passed","Fri Jun 27 00:53:21 IDT 2025","","test_posts","",""
"","34","test_get_post_by_non_existing_id[999]","tests","Fri Jun 27 00:53:21 IDT 2025","passed","Fri Jun 27 00:53:21 IDT 2025","","test_posts","",""
"","539","test_create_post_with_missing_fields[post_missing_fields3]","tests","Fri Jun 27 00:53:26 IDT 2025","passed","Fri Jun 27 00:53:27 IDT 2025","","test_posts","",""
"","179","test_update_post_with_invalid_data_types[post_wrong_types1]","tests","Fri Jun 27 00:53:34 IDT 2025","passed","Fri Jun 27 00:53:34 IDT 2025","","test_posts","",""
"","174","test_update_post_with_invalid_data_types[post_wrong_types2]","tests","Fri Jun 27 00:53:34 IDT 2025","passed","Fri Jun 27 00:53:34 IDT 2025","","test_posts","",""
"","513","test_create_post_with_wrong_data_types[post_wrong_types2]","tests","Fri Jun 27 00:53:27 IDT 2025","passed","Fri Jun 27 00:53:28 IDT 2025","","test_posts","",""
"","164","test_update_post_with_missing_fields[post_missing_fields3]","tests","Fri Jun 27 00:53:34 IDT 2025","passed","Fri Jun 27 00:53:34 IDT 2025","","test_posts","",""
"","449","test_update_non_existing_post_id","tests","Fri Jun 27 00:53:30 IDT 2025","passed","Fri Jun 27 00:53:30 IDT 2025","","test_posts","",""
"","40","test_get_post_by_existing_id[3]","tests","Fri Jun 27 00:53:21 IDT 2025","passed","Fri Jun 27 00:53:21 IDT 2025","","test_posts","",""
"","602","test_create_post_with_none_fields[post_with_none1]","tests","Fri Jun 27 00:53:24 IDT 2025","passed","Fri Jun 27 00:53:24 IDT 2025","","test_posts","",""
"","547","test_create_post_with_large_input","tests","Fri Jun 27 00:53:28 IDT 2025","passed","Fri Jun 27 00:53:29 IDT 2025","","test_posts","",""
"","432","test_post_with_text_plain_and_invalid_body","tests","Fri Jun 27 00:53:29 IDT 2025","passed","Fri Jun 27 00:53:29 IDT 2025","","test_posts","",""
"","182","test_delete_existing_post","tests","Fri Jun 27 00:53:35 IDT 2025","passed","Fri Jun 27 00:53:35 IDT 2025","","test_posts","",""
"","438","test_create_post_with_one_extra_field","tests","Fri Jun 27 00:53:29 IDT 2025","passed","Fri Jun 27 00:53:29 IDT 2025","","test_posts","",""
"","166","test_update_post_with_missing_fields[post_missing_fields2]","tests","Fri Jun 27 00:53:33 IDT 2025","passed","Fri Jun 27 00:53:34 IDT 2025","","test_posts","",""
"","173","test_update_post_with_missing_fields[post_missing_fields0]","tests","Fri Jun 27 00:53:33 IDT 2025","passed","Fri Jun 27 00:53:33 IDT 2025","","test_posts","",""
"","41","test_get_post_by_non_existing_id[0]","tests","Fri Jun 27 00:53:21 IDT 2025","passed","Fri Jun 27 00:53:21 IDT 2025","","test_posts","",""
"","42","test_get_post_by_non_existing_id[abc]","tests","Fri Jun 27 00:53:21 IDT 2025","passed","Fri Jun 27 00:53:21 IDT 2025","","test_posts","",""
"","172","test_create_post_with_missing_fields[post_missing_fields2]","tests","Fri Jun 27 00:53:26 IDT 2025","passed","Fri Jun 27 00:53:26 IDT 2025","","test_posts","",""
"","436","test_put_with_text_plain_and_invalid_body","tests","Fri Jun 27 00:53:35 IDT 2025","passed","Fri Jun 27 00:53:35 IDT 2025","","test_posts","",""
"","172","test_get_post_by_existing_id[2]","tests","Fri Jun 27 00:53:21 IDT 2025","passed","Fri Jun 27 00:53:21 IDT 2025","","test_posts","",""
"","617","test_create_post_with_none_fields[post_with_none0]","tests","Fri Jun 27 00:53:23 IDT 2025","passed","Fri Jun 27 00:53:24 IDT 2025","","test_posts","",""
"","50","test_get_post_by_existing_id[1]","tests","Fri Jun 27 00:53:21 IDT 2025","passed","Fri Jun 27 00:53:21 IDT 2025","","test_posts","",""
"","44","test_get_post_by_non_existing_id[-5]","tests","Fri Jun 27 00:53:21 IDT 2025","passed","Fri Jun 27 00:53:21 IDT 2025","","test_posts","",""
"","254","test_create_post_with_wrong_data_types[post_wrong_types0]","tests","Fri Jun 27 00:53:27 IDT 2025","passed","Fri Jun 27 00:53:27 IDT 2025","","test_posts","",""
"","170","test_update_post_with_invalid_data_types[post_wrong_types0]","tests","Fri Jun 27 00:53:34 IDT 2025","passed","Fri Jun 27 00:53:34 IDT 2025","","test_posts","",""
"","42","test_get_post_by_existing_id[50]","tests","Fri Jun 27 00:53:21 IDT 2025","passed","Fri Jun 27 00:53:21 IDT 2025","","test_posts","",""
"","514","test_update_post_with_none_fields[post_with_none1]","tests","Fri Jun 27 00:53:32 IDT 2025","passed","Fri Jun 27 00:53:32 IDT 2025","","test_posts","",""
"","602","test_create_new_post","tests","Fri Jun 27 00:53:22 IDT 2025","passed","Fri Jun 27 00:53:23 IDT 2025","","test_posts","",""
"","181","test_update_post_with_large_input","tests","Fri Jun 27 00:53:34 IDT 2025","passed","Fri Jun 27 00:53:35 IDT 2025","","test_posts","",""
"","495","test_update_post","tests","Fri Jun 27 00:53:29 IDT 2025","passed","Fri Jun 27 00:53:30 IDT 2025","","test_posts","",""
